"jump.times","SpeciesmRNA","SpeciesProtein"
0,100,0
0.0111906120833711,100,1
0.0210819784132035,100,2
0.0300044217923358,100,3
0.0343962796871416,99,3
0.0350273416785934,99,4
0.0353381019247635,98,4
0.039767406656073,98,5
0.0423004791816127,98,6
0.0450055110904769,98,7
0.0490954175862066,97,7
0.0749977303124954,96,7
0.0989299891457374,95,7
0.11507122324954,95,8
0.131698795427988,94,8
0.135377705493854,94,9
0.143640313583109,94,10
0.147094430571281,94,11
0.150844134885709,93,11
0.151251606135918,93,12
0.162605586271257,92,12
0.1676066113935,91,12
0.172340787301504,91,13
0.172483831976521,90,13
0.178840804288896,90,12
0.186797350601129,90,13
0.18843423072658,90,12
0.192990371809182,90,13
0.195795469206742,90,14
0.200082032929728,90,15
0.200752606951298,89,15
0.204019427789288,89,16
0.230445129101279,89,17
0.238972556250518,89,18
0.241804873528837,89,19
0.247696802821312,88,19
0.252223178115235,88,20
0.276155021797197,87,20
0.305718027546157,87,19
0.322563185303271,86,19
0.342884625011879,85,19
0.345351519680122,85,20
0.350808792067673,84,20
0.353286387003686,84,19
0.357837722315705,83,19
0.371465391963542,82,19
0.380842545646815,82,20
0.384011275761395,82,21
0.389777890663316,82,22
0.395454948783239,81,22
0.399187593332963,81,21
0.405711631482319,81,22
0.409570560239728,81,23
0.423156061529286,81,24
0.433905039841018,80,24
0.443108829792843,80,25
0.461844671329381,80,26
0.469219886566588,80,27
0.476962167104909,80,26
0.49457774025512,79,26
0.497985697955362,79,27
0.499732252463931,79,28
0.507781914323012,79,27
0.508166372008129,78,27
0.52030534823846,77,27
0.521814295771674,77,28
0.529297077823276,76,28
0.550820405671006,75,28
0.552578309790143,75,29
0.565700902076287,75,30
0.572966591321131,75,29
0.578227828722897,75,30
0.578348259090768,75,31
0.579086210791799,74,31
0.588387659143635,74,32
0.589130365715531,74,31
0.593925482099652,74,32
0.595999381790322,73,32
0.596782951198041,73,31
0.605421360342345,73,32
0.608879754236578,73,33
0.610817747190396,72,33
0.616230333201671,71,33
0.625154716230725,71,34
0.634311226704661,70,34
0.637470711206589,70,33
0.643029628847237,70,32
0.647180893049026,70,33
0.650027189369906,70,34
0.654516849263307,70,35
0.667170677785201,70,34
0.670189507201685,70,33
0.671078696720492,70,32
0.677202943449371,69,32
0.687479249831327,69,33
0.689147198208805,68,33
0.71857677079391,67,33
0.722415149568381,67,34
0.72523858722628,67,33
0.735474574413081,67,34
0.740416757262168,67,33
0.741952269215454,67,34
0.742581728944705,67,33
0.743405238923373,67,34
0.743999146115282,67,33
0.744742402316653,67,34
0.754481550922946,67,33
0.755228718626011,67,34
0.757852388383779,66,34
0.77880896646416,65,34
0.788647207266534,64,34
0.791523734718225,64,35
0.796566263347042,64,36
0.815188283135148,64,37
0.815727885794258,64,36
0.820272719296615,63,36
0.830374536966182,63,37
0.833100488946361,63,36
0.835553253133315,63,35
0.856519370917982,63,36
0.861927978039536,63,37
0.863048223761294,63,38
0.869514368348077,63,37
0.880720896792203,63,36
0.894474880463121,62,36
0.90282443177805,62,35
0.907251072438671,62,34
0.909226131485538,62,35
0.910692717921345,62,34
