"jump.times","SpeciesmRNA","SpeciesProtein"
0.213887038261994,888,17
0.214880025164346,887,17
0.21802677007768,886,17
0.219397441233071,886,18
0.221403295564556,885,18
0.221876623411801,884,18
0.226806366064337,883,18
0.235000899718733,882,18
0.23566375695134,881,18
0.237108599201724,880,18
0.237681795497721,879,18
0.238800236934829,879,19
0.238834385278361,878,19
0.239377945124136,877,19
0.239583672452323,876,19
0.240966456745896,875,19
0.242897112720106,874,19
0.247624002510829,874,20
0.248491304101314,873,20
0.249708575667307,872,20
0.250536563403757,871,20
0.251706235799772,870,20
0.255861127736229,869,20
0.258106872934746,868,20
0.25822780816907,867,20
0.260328299694842,866,20
0.260776031944652,866,19
0.270159508399185,866,20
0.278814708169063,865,20
0.280984311844027,864,20
0.282918746026967,863,20
0.283567545736751,862,20
0.285816964431478,861,20
0.286898184870855,860,20
0.28773025187941,860,21
0.290282185980295,859,21
0.294912112585191,858,21
0.297136038659407,857,21
0.298761404946377,856,21
0.299075054594314,855,21
0.299392566738529,854,21
0.302728345094332,853,21
0.308805846037532,852,21
0.310200041147244,851,21
0.31188158086507,850,21
0.312065569990769,849,21
0.318497353970744,848,21
0.320737496484363,848,22
0.321511150445383,847,22
0.322682026140194,847,21
0.327231683042195,846,21
0.329987448200464,845,21
0.33215582530517,844,21
0.332276960726508,843,21
0.332396352399953,842,21
0.333917088916346,841,21
0.334881810551185,840,21
0.335720365593113,839,21
0.340605453249223,838,21
0.341907010722438,837,21
0.34368429890534,836,21
0.347046651864765,835,21
0.348883694123252,835,22
0.353680651546861,834,22
0.358731656035193,833,22
0.359511353194807,832,22
0.36024849578496,831,22
0.361500772547716,830,22
0.361666517924716,829,22
0.364682227110222,828,22
0.36506429995271,828,23
0.366354514771305,827,23
0.366825735015524,826,23
0.36693250812678,826,24
0.373989394949188,825,24
0.37629435185172,824,24
0.376973624147438,823,24
0.380219283910543,822,24
0.383544142192246,821,24
0.387300404586276,820,24
0.391394028794621,819,24
0.392367227481068,818,24
0.395826182026932,817,24
0.397806345144673,817,25
0.400211673964967,817,26
0.404662396092326,816,26
0.404688170385821,816,27
0.405689694620071,815,27
0.406418761345121,815,26
0.418595862355735,815,25
0.422292891276845,815,26
0.422613336129056,815,27
0.426129209016546,815,28
0.428016721888347,814,28
0.431843139605947,813,28
0.432371698671481,812,28
0.434501755849348,811,28
0.437913893556959,810,28
0.443969405096822,810,27
0.444465069277765,809,27
0.451561936011572,808,27
0.453514278919094,807,27
0.456788865880646,806,27
0.468546992998511,805,27
0.469533531405053,804,27
0.480514424814054,803,27
0.485259508053732,802,27
0.485385282746172,801,27
0.486462719915726,801,28
0.486802841953608,800,28
0.488363045958536,799,28
0.491048250613283,798,28
0.496076218200443,797,28
0.496734332404296,797,29
0.503536047523945,796,29
0.504540327806614,795,29
0.506733492234279,794,29
0.508381588857014,793,29
0.513632852958886,792,29
0.514771720211445,792,30
0.517353988663152,792,31
0.519688355651441,791,31
0.523396526152421,790,31
0.532649279843959,789,31
0.538278702123046,788,31
0.54005119297801,787,31
0.54214656098454,786,31
0.546454691423375,785,31
0.547931214293137,784,31
0.548701479397295,783,31
0.550348800763023,782,31
0.554159104287048,781,31
0.556531105881156,780,31
0.557310249757537,779,31
0.560755093297384,778,31
0.56132091062676,777,31
0.565001567431516,776,31
0.566005805282806,776,30
0.566402785927246,775,30
0.566501516439482,774,30
0.567360033346201,774,31
0.572832814098957,773,31
0.573525821672875,772,31
0.574691853891869,771,31
0.579337845827109,770,31
0.58246950568362,769,31
0.585818293272631,768,31
